chunking_strategy,retrieval_method,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,metric_precision,metric_recall
Advanced semantic segmentation,bm25,1.0,1.0,1.0,0.06239086543708391,0.1039847757284732,1.0,,,,,,,
Advanced semantic segmentation,hybrid,1.0,1.0,0.96,0.06239086543708391,0.09943932118301861,1.0,,,,,,,
Advanced semantic segmentation,vector,1.0,0.9333333333333332,0.8800000000000002,0.05784541089162929,0.09034841209210949,1.0,,,,,,,
Sliding window with coherence,bm25,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,,,,,,,
Sliding window with coherence,hybrid,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,,,,,,,
Sliding window with coherence,vector,1.0,0.9333333333333332,0.8800000000000002,0.0588568665377176,0.09203417150225661,1.0,,,,,,,
Topic-based chunking,bm25,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,,,,,,,
Topic-based chunking,hybrid,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,,,,,,,
Topic-based chunking,vector,1.0,0.9333333333333332,0.8800000000000002,0.0588568665377176,0.09203417150225661,1.0,,,,,,,
fixed,bm25,1.0,0.9777777777777776,0.9733333333333333,0.6295060331825038,0.7852878330819508,1.0,,,,,,,
fixed,hybrid,1.0,0.9777777777777776,0.9533333333333334,0.6295060331825038,0.7757792860734036,1.0,,,,,,,
fixed,vector,1.0,0.9555555555555555,0.9400000000000001,0.6225615887380593,0.7674459527400703,1.0,,,,,,,
paragraph,bm25,0.8000000000000002,0.8666666666666666,0.8000000000000002,0.0508722082448164,0.0764569330752145,0.9,,,,,,,
paragraph,hybrid,1.0,0.7999999999999999,0.7600000000000001,0.0469506396173654,0.0727804624869792,1.0,,,,,,,
paragraph,vector,1.0,0.8000000000000002,0.7600000000000001,0.046720556212131094,0.0725503790817448,1.0,,,,,,,
semantic,bm25,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,,,,,,,
semantic,hybrid,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,,,,,,,
semantic,vector,1.0,0.9333333333333332,0.8800000000000002,0.0588568665377176,0.09203417150225661,1.0,,,,,,,
