prompt_template,prompt_description,retrieval_config,retrieval_description,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,metric_precision,metric_recall,generation_time_sec,queries_per_second
basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",,,,,,,0.1954391876824285,0.1954391876824285,0.7914278243255287,0.0,0.7200000000000001,,,23.923333406448364,0.26054653473028594
basic,Basic prompt,top_3,Top 3 documents,,,,,,,0.1816715618965609,0.1816715618965609,0.8199334075142884,0.0,0.68,,,13.68951646486918,0.4153267123133613
basic,Basic prompt,top_5,Top 5 documents,,,,,,,0.17092528017735778,0.17092528017735778,0.8241088133140494,0.0,0.68,,,14.741228501001993,0.4186532047072593
citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",,,,,,,0.1954391876824285,0.1954391876824285,0.7914278243255287,0.0,0.7200000000000001,,,16.58586843808492,0.30423978111194977
citation,Request citations,top_3,Top 3 documents,,,,,,,0.1816715618965609,0.1816715618965609,0.8199334075142884,0.0,0.68,,,17.06692870457967,0.29367792785071606
citation,Request citations,top_5,Top 5 documents,,,,,,,0.17092528017735778,0.17092528017735778,0.8241088133140494,0.0,0.68,,,9.876006762186686,0.538987863166034
extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",,,,,,,0.1954391876824285,0.1954391876824285,0.7914278243255287,0.0,0.7200000000000001,,,19.45778791109721,0.28151447520892436
extractive,Extract answer,top_3,Top 3 documents,,,,,,,0.1816715618965609,0.1816715618965609,0.8199334075142884,0.0,0.68,,,17.640830993652344,0.3348180363273749
extractive,Extract answer,top_5,Top 5 documents,,,,,,,0.17092528017735778,0.17092528017735778,0.8241088133140494,0.0,0.68,,,12.007679462432861,0.43497056466907624
instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",,,,,,,0.1954391876824285,0.1954391876824285,0.7914278243255287,0.0,0.7200000000000001,,,14.299286206563314,0.3735399013743321
instructional,Detailed instructions,top_3,Top 3 documents,,,,,,,0.1816715618965609,0.1816715618965609,0.8199334075142884,0.0,0.68,,,15.58561293284098,0.34089925217994627
instructional,Detailed instructions,top_5,Top 5 documents,,,,,,,0.17092528017735778,0.17092528017735778,0.8241088133140494,0.0,0.68,,,14.976802428563436,0.34054386173731754
